homeTeam,homeScore,awayteam,awayscore,round,group,date,ScoreDiff,Draw
Club Brugge,1,Juventus,2,round : 1,A,14/09/2005,-1,FALSE
SK Rapid Wien,0,Bayern München,1,round : 1,A,14/09/2005,-1,FALSE
Arsenal,2,FC Thun,1,round : 1,B,14/09/2005,1,FALSE
Sparta Praha,1,Ajax,1,round : 1,B,14/09/2005,0,TRUE
Udinese,3,Panathinaikos,0,round : 1,C,14/09/2005,3,FALSE
Werder Bremen,0,Barcelona,2,round : 1,C,14/09/2005,-2,FALSE
SL Benfica,1,Lille OSC,0,round : 1,D,14/09/2005,1,FALSE
Villarreal,0,Manchester United,0,round : 1,D,14/09/2005,0,TRUE
Milan,3,Fenerbahçe,1,round : 1,E,13/09/2005,2,FALSE
PSV Eindhoven,1,FC Schalke 04,0,round : 1,E,13/09/2005,1,FALSE
Olympiacos,1,Rosenborg BK,3,round : 1,F,13/09/2005,-2,FALSE
Olympique Lyonnais,3,Real Madrid,0,round : 1,F,13/09/2005,3,FALSE
Chelsea,1,RSC Anderlecht,0,round : 1,G,13/09/2005,1,FALSE
Real Betis Balompié,1,Liverpool,2,round : 1,G,13/09/2005,-1,FALSE
FC Petrzalka 1898,0,Inter,1,round : 1,H,13/09/2005,-1,FALSE
Rangers,3,FC Porto,2,round : 1,H,13/09/2005,1,FALSE
Bayern München,1,Club Brugge,0,round : 2,A,27/09/2005,1,FALSE
Juventus,3,SK Rapid Wien,0,round : 2,A,27/09/2005,3,FALSE
Ajax,1,Arsenal,2,round : 2,B,27/09/2005,-1,FALSE
FC Thun,1,Sparta Praha,0,round : 2,B,27/09/2005,1,FALSE
Barcelona,4,Udinese,1,round : 2,C,27/09/2005,3,FALSE
Panathinaikos,2,Werder Bremen,1,round : 2,C,27/09/2005,1,FALSE
Lille OSC,0,Villarreal,0,round : 2,D,27/09/2005,0,TRUE
Manchester United,2,SL Benfica,1,round : 2,D,27/09/2005,1,FALSE
FC Schalke 04,2,Milan,2,round : 2,E,28/09/2005,0,TRUE
Fenerbahçe,3,PSV Eindhoven,0,round : 2,E,28/09/2005,3,FALSE
Real Madrid,2,Olympiacos,1,round : 2,F,28/09/2005,1,FALSE
Rosenborg BK,0,Olympique Lyonnais,1,round : 2,F,28/09/2005,-1,FALSE
Liverpool,0,Chelsea,0,round : 2,G,28/09/2005,0,TRUE
RSC Anderlecht,0,Real Betis Balompié,1,round : 2,G,28/09/2005,-1,FALSE
FC Porto,2,FC Petrzalka 1898,3,round : 2,H,28/09/2005,-1,FALSE
Inter,1,Rangers,0,round : 2,H,28/09/2005,1,FALSE
Bayern München,2,Juventus,1,round : 3,A,18/10/2005,1,FALSE
SK Rapid Wien,0,Club Brugge,1,round : 3,A,18/10/2005,-1,FALSE
Ajax,2,FC Thun,0,round : 3,B,18/10/2005,2,FALSE
Sparta Praha,0,Arsenal,2,round : 3,B,18/10/2005,-2,FALSE
Panathinaikos,0,Barcelona,0,round : 3,C,18/10/2005,0,TRUE
Udinese,1,Werder Bremen,1,round : 3,C,18/10/2005,0,TRUE
Manchester United,0,Lille OSC,0,round : 3,D,18/10/2005,0,TRUE
Villarreal,1,SL Benfica,1,round : 3,D,18/10/2005,0,TRUE
Fenerbahçe,3,FC Schalke 04,3,round : 3,E,19/10/2005,0,TRUE
Milan,0,PSV Eindhoven,0,round : 3,E,19/10/2005,0,TRUE
Olympique Lyonnais,2,Olympiacos,1,round : 3,F,19/10/2005,1,FALSE
Real Madrid,4,Rosenborg BK,1,round : 3,F,19/10/2005,3,FALSE
Chelsea,4,Real Betis Balompié,0,round : 3,G,19/10/2005,4,FALSE
RSC Anderlecht,0,Liverpool,1,round : 3,G,19/10/2005,-1,FALSE
FC Porto,2,Inter,0,round : 3,H,19/10/2005,2,FALSE
Rangers,0,FC Petrzalka 1898,0,round : 3,H,19/10/2005,0,TRUE
Club Brugge,3,SK Rapid Wien,2,round : 4,A,02/11/2005,1,FALSE
Juventus,2,Bayern München,1,round : 4,A,02/11/2005,1,FALSE
Arsenal,3,Sparta Praha,0,round : 4,B,02/11/2005,3,FALSE
FC Thun,2,Ajax,4,round : 4,B,02/11/2005,-2,FALSE
Barcelona,5,Panathinaikos,0,round : 4,C,02/11/2005,5,FALSE
Werder Bremen,4,Udinese,3,round : 4,C,02/11/2005,1,FALSE
Lille OSC,1,Manchester United,0,round : 4,D,02/11/2005,1,FALSE
SL Benfica,0,Villarreal,1,round : 4,D,02/11/2005,-1,FALSE
FC Schalke 04,2,Fenerbahçe,0,round : 4,E,01/11/2005,2,FALSE
PSV Eindhoven,1,Milan,0,round : 4,E,01/11/2005,1,FALSE
Olympiacos,1,Olympique Lyonnais,4,round : 4,F,01/11/2005,-3,FALSE
Rosenborg BK,0,Real Madrid,2,round : 4,F,01/11/2005,-2,FALSE
Liverpool,3,RSC Anderlecht,0,round : 4,G,01/11/2005,3,FALSE
Real Betis Balompié,1,Chelsea,0,round : 4,G,01/11/2005,1,FALSE
FC Petrzalka 1898,2,Rangers,2,round : 4,H,01/11/2005,0,TRUE
Inter,2,FC Porto,1,round : 4,H,01/11/2005,1,FALSE
Bayern München,4,SK Rapid Wien,0,round : 5,A,22/11/2005,4,FALSE
Juventus,1,Club Brugge,0,round : 5,A,22/11/2005,1,FALSE
Ajax,2,Sparta Praha,1,round : 5,B,22/11/2005,1,FALSE
FC Thun,0,Arsenal,1,round : 5,B,22/11/2005,-1,FALSE
Barcelona,3,Werder Bremen,1,round : 5,C,22/11/2005,2,FALSE
Panathinaikos,1,Udinese,2,round : 5,C,22/11/2005,-1,FALSE
